 num     #instances         #bytes  class name (module)
 182:            17            680  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.2)
 183:            17            680  java.time.format.DateTimeFormatter (java.base@17.0.2)
 184:            28            672  java.util.ImmutableCollections$ListN (java.base@17.0.2)
 185:            28            672  java.util.regex.Pattern$CharPropertyGreedy (java.base@17.0.2)
 186:            28            672  java.util.regex.Pattern$GroupTail (java.base@17.0.2)
 187:            27            648  java.util.regex.Pattern$GroupHead (java.base@17.0.2)
 188:            40            640  java.util.Collections$SingletonSet (java.base@17.0.2)
 189:            40            640  java.util.regex.Pattern$BitClass (java.base@17.0.2)
 190:            10            640  sun.security.mscapi.SunMSCAPI$ProviderService (jdk.crypto.mscapi@17.0.2)
 191:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17.0.2)
 192:            26            624  java.security.spec.ECFieldF2m (java.base@17.0.2)
 193:            26            624  java.time.LocalTime (java.base@17.0.2)
 194:            26            624  jdk.internal.util.jar.JarIndex (java.base@17.0.2)
 195:            38            608  java.lang.constant.ReferenceClassDescImpl (java.base@17.0.2)
 196:            25            600  io.netty.channel.nio.SelectedSelectionKeySet
 197:            25            600  io.netty.channel.nio.SelectedSelectionKeySetSelector
 198:            25            600  io.netty.util.internal.ThreadExecutorMap$1
 199:            25            600  sun.nio.ch.PipeImpl (java.base@17.0.2)
 200:            14            592  [Ljava.lang.invoke.MethodType; (java.base@17.0.2)
 201:             9            576  java.nio.DirectByteBuffer (java.base@17.0.2)
 202:             9            576  sun.security.mscapi.SunMSCAPI$ProviderServiceA (jdk.crypto.mscapi@17.0.2)
 203:            35            560  java.util.LinkedHashSet (java.base@17.0.2)
 204:             7            560  java.util.concurrent.TimeUnit (java.base@17.0.2)
 205:            10            560  sun.invoke.util.Wrapper (java.base@17.0.2)
 206:             5            560  sun.security.provider.HashDrbg (java.base@17.0.2)
 207:            14            560  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.2)
 208:            23            552  io.vertx.ext.web.impl.RouteImpl
 209:            23            552  java.security.SecurityPermission (java.base@17.0.2)
 210:            19            544  [Ljava.io.ObjectStreamField; (java.base@17.0.2)
 211:             1            528  [Ljava.lang.Character; (java.base@17.0.2)
 212:            33            528  [Ljava.security.Principal; (java.base@17.0.2)
 213:             1            528  [Ljava.util.TimerTask; (java.base@17.0.2)
 214:            33            528  java.security.ProtectionDomain$Key (java.base@17.0.2)
 215:             8            512  com.sun.security.sasl.Provider$ProviderService (java.security.sasl@17.0.2)
 216:            16            512  java.time.temporal.ChronoUnit (java.base@17.0.2)
 217:            21            504  java.lang.invoke.Invokers (java.base@17.0.2)
 218:            21            504  java.security.BasicPermissionCollection (java.base@17.0.2)
 219:            21            504  java.util.AbstractMap$SimpleImmutableEntry (java.base@17.0.2)
 220:            21            504  java.util.regex.Pattern$Slice (java.base@17.0.2)
 221:             7            496  [Lsun.invoke.util.Wrapper; (java.base@17.0.2)
 222:            31            496  io.netty.handler.codec.http.HttpMethod
 223:            31            496  io.vertx.core.http.HttpMethod
 224:            31            496  java.util.regex.Pattern$$Lambda$19/0x800000025 (java.base@17.0.2)
 225:            12            480  java.lang.OutOfMemoryError (java.base@17.0.2)
 226:            10            480  java.lang.invoke.LambdaFormEditor$Transform (java.base@17.0.2)
 227:            29            464  java.security.SecureClassLoader$CodeSourceKey (java.base@17.0.2)
 228:            29            464  java.util.regex.Pattern$CharPredicate$$Lambda$23/0x80000002d (java.base@17.0.2)
 229:            19            456  java.time.Duration (java.base@17.0.2)
 230:            19            456  java.util.jar.Manifest (java.base@17.0.2)
 231:            19            456  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@17.0.2)
 232:            19            456  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@17.0.2)
 233:             4            448  [Lio.netty.buffer.PoolArena;
 234:            11            440  java.lang.invoke.VarHandle$AccessDescriptor (java.base@17.0.2)
 235:             1            432  [[[C (java.base@17.0.2)
 236:            27            432  java.security.spec.ECFieldFp (java.base@17.0.2)
 237:             6            416  [S (java.base@17.0.2)
 238:            13            416  sun.security.jca.ProviderConfig (java.base@17.0.2)
 239:            17            408  java.net.Inet4Address (java.base@17.0.2)
 240:            12            400  [Ljava.lang.constant.ClassDesc; (java.base@17.0.2)
 241:            25            400  io.netty.channel.nio.NioEventLoop$1
 242:            10            400  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.2)
 243:            10            400  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.2)
 244:            25            400  java.util.concurrent.CountDownLatch (java.base@17.0.2)
 245:            16            384  java.util.regex.Pattern$StartS (java.base@17.0.2)
 246:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 247:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.2)
