 num     #instances         #bytes  class name (module)
 224:            25            800  java.net.InetAddress$InetAddressHolder (java.base@17.0.2)
 225:            50            800  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@17.0.2)
 226:            25            800  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@17.0.2)
 227:            20            800  java.util.StringJoiner (java.base@17.0.2)
 228:            25            800  java.util.concurrent.CountDownLatch$Sync (java.base@17.0.2)
 229:            49            784  jdk.internal.reflect.ConstantPool (java.base@17.0.2)
 230:            46            776  [Ljava.net.InterfaceAddress; (java.base@17.0.2)
 231:            31            744  java.security.Permissions (java.base@17.0.2)
 232:            31            744  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@17.0.2)
 233:            46            736  [Ljava.net.NetworkInterface; (java.base@17.0.2)
 234:            46            736  io.netty.util.internal.SocketUtils$11
 235:            23            736  java.lang.invoke.SimpleMethodHandle (java.base@17.0.2)
 236:            30            720  java.util.ImmutableCollections$SetN$SetNIterator (java.base@17.0.2)
 237:             4            704  java.lang.reflect.ProxyGenerator (java.base@17.0.2)
 238:            44            704  java.util.Collections$UnmodifiableSet (java.base@17.0.2)
 239:            22            704  java.util.TreeMap$KeyIterator (java.base@17.0.2)
 240:            44            704  java.util.WeakHashMap$KeySet (java.base@17.0.2)
 241:            29            696  java.lang.WeakPairMap$Pair$Lookup (java.base@17.0.2)
 242:            29            696  java.lang.invoke.InvokerBytecodeGenerator$ClassData (java.base@17.0.2)
 243:            29            696  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@17.0.2)
 244:            29            696  sun.security.provider.PolicyFile$PolicyEntry (java.base@17.0.2)
 245:            29            696  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.2)
 246:            17            680  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.2)
 247:            17            680  java.time.format.DateTimeFormatter (java.base@17.0.2)
 248:            28            672  java.util.ImmutableCollections$ListN (java.base@17.0.2)
 249:            28            672  java.util.regex.Pattern$CharProperty (java.base@17.0.2)
 250:            28            672  java.util.regex.Pattern$CharPropertyGreedy (java.base@17.0.2)
 251:            28            672  java.util.regex.Pattern$GroupTail (java.base@17.0.2)
 252:            27            648  java.util.regex.Pattern$GroupHead (java.base@17.0.2)
 253:            16            640  java.lang.NoSuchMethodError (java.base@17.0.2)
 254:            10            640  java.nio.DirectByteBuffer (java.base@17.0.2)
 255:            40            640  java.util.Collections$SingletonSet (java.base@17.0.2)
 256:            40            640  java.util.regex.Pattern$BitClass (java.base@17.0.2)
 257:            10            640  sun.security.mscapi.SunMSCAPI$ProviderService (jdk.crypto.mscapi@17.0.2)
 258:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17.0.2)
 259:            26            624  java.security.spec.ECFieldF2m (java.base@17.0.2)
 260:            39            624  java.util.LinkedHashSet (java.base@17.0.2)
 261:            26            624  jdk.internal.util.jar.JarIndex (java.base@17.0.2)
 262:            36            608  [Lsun.reflect.generics.tree.TypeArgument; (java.base@17.0.2)
 263:            38            608  java.lang.constant.ReferenceClassDescImpl (java.base@17.0.2)
 264:            25            600  io.netty.channel.nio.SelectedSelectionKeySet
 265:            25            600  io.netty.channel.nio.SelectedSelectionKeySetSelector
 266:            25            600  io.netty.util.internal.ThreadExecutorMap$1
 267:            25            600  java.util.Arrays$ArrayList (java.base@17.0.2)
 268:            25            600  sun.nio.ch.PipeImpl (java.base@17.0.2)
 269:            14            592  [Ljava.lang.invoke.MethodType; (java.base@17.0.2)
 270:            37            592  [Ljava.util.regex.IntHashSet; (java.base@17.0.2)
 271:            24            576  java.util.Collections$1 (java.base@17.0.2)
 272:            24            576  sun.reflect.generics.factory.CoreReflectionFactory (java.base@17.0.2)
 273:            24            576  sun.reflect.generics.scope.ClassScope (java.base@17.0.2)
